Type	Size	Time
P	795	14849
P	225	1224
P	910	225273
P	665	939
C	696	54569
P	155	945
C	457	263492
C	295	866
P	368	983
C	127	868
C	32	722
C	25	604
C	177	940
C	236	617
C	382	1462
P	626	752
C	603	1288
P	369	692
C	904	1107
P	777	560596
P	966	574902
P	816	1111
P	138	1081
C	913	738
C	562	815
C	121	928
P	874	1136
C	196	759
P	793	944
C	950	438093
P	2	1332
P	566	1194
C	862	989
C	84	977
C	683	914
P	885	1171
C	651	1048
C	113	1090
C	314	1005
C	82	1159
C	85	823
C	32	1191
C	127	957
P	185	889
C	649	735
P	265	797
C	92	1303
P	995	798
C	628	1300
P	786	677
P	906	1220423
C	113	1192
C	811	2117
C	258	1218
C	372	863
C	340	1241
P	77	1216
P	760	729
P	246	661
P	606	565
C	728	1654896
P	269	1033
C	743	1990900
P	222	1023
P	98	811
P	444	569
P	165	576
C	546	1085
P	508	886
C	129	920
P	185	1295
P	72	2085465
P	952	2056109
C	953	1035
C	620	811
P	898	1103
C	172	842
C	88	1086
C	804	2044286
C	357	1100
C	503	796
P	941	1912274
P	222	1087
P	156	1069
C	393	1086
P	629	977
C	941	1134
C	700	1172
C	287	995
C	445	1135
P	703	808
P	111	1021
P	707	1236
P	252	932
P	448	2546
C	591	798
P	660	1404
C	176	939
P	79	660
P	341	1230
C	334	1233
C	221	1038
C	205	1217
P	739	1366
C	223	1149
C	680	943
P	208	1102
C	745	1130
P	856	7252525
P	70	854
C	930	1049
P	754	706
C	541	811
P	405	898
P	650	9619176
P	740	9610480
P	778	11033611
C	627	707
C	936	9718848
P	843	761
P	592	997
P	252	564
P	221	9543964
C	338	9620018
P	175	913
C	685	813
P	473	759
C	306	677
P	591	1691
C	740	1278
P	199	1041
C	667	872
C	228	9529543
C	625	941
C	192	1059
C	235	1127
P	772	885
C	942	992
P	802	750
P	500	757
C	722	1108
P	328	969
C	455	1066
C	271	884
P	332	885
C	30	1201
C	324	1398
C	787	1493
P	372	870
P	398	647
P	613	684
P	288	931
C	467	1271
C	96	1214
C	630	1099
P	232	867
P	222	12879067
C	381	9693140
C	100	14906690
P	823	14642562
P	835	987
P	285	932
C	303	1151
C	48	12791819
C	510	1176
C	979	16589984
C	282	1024
P	509	14476051
P	573	830
P	616	748
C	321	14580586
P	331	14762909
C	38	792
C	263	898
C	601	661
C	143	598
C	409	478
C	344	437
P	112	942
P	943	583
P	154	667
C	931	825
C	154	863
P	660	14898340
P	949	17729557
C	911	14934509
P	453	693
C	965	16740771
P	244	760
C	106	764
P	76	871
C	622	729
P	154	773
P	976	710
P	348	633
P	369	384
C	691	1236
C	590	772
C	263	796
P	431	1687
P	130	727
C	662	1215
C	158	887
C	122	760
C	636	17338302
P	963	723
P	344	1669
P	252	764
P	534	17203370
P	500	17274639
C	957	802
C	217	786
C	213	747
C	29	617
C	623	713
C	357	526
P	805	17270677
C	235	17295347
P	25	583
C	592	802
P	479	987
P	866	604
C	171	649
C	644	776
C	649	466
C	42	403
P	825	19660076
P	568	905
P	107	580
P	41	687
P	1	595
P	743	17692546
