Type	Size	Time
P	9266	14603
C	8287	66594
P	4428	1436
C	424	1431
P	8346	857
C	1566	1092
C	6002	1110
C	3161	1290
P	8139	1170
P	5906	805
C	4930	1008
C	8989	1259
C	521	1025
P	2231	751
P	9401	605810
P	2190	883
P	4048	1150
C	6212	1085
P	5316	1105
C	1155	589
C	1068	758
C	9026	967
P	6435	167241
P	9363	238861
C	3194	1617
C	2817	1124
C	3229	776
C	4000	1194
P	1778	901
C	9120	807
C	9746	692
P	2562	979
C	1308	691
P	1941	754
C	5123	749
P	4778	934
P	7360	1239
P	6743	757
C	1613	699
P	1114	1161
C	8317	795
C	8468	690
P	1280	977
P	4071	886
P	2854	724
P	9577	956
C	8843	826
C	5754	715
C	4672	986
P	9144	126296
P	5475	1298
P	3614	1104
C	26	1070422
P	9692	1420129
C	12	935
C	9917	978
C	4718	942
C	570	1156
P	8865	1005
C	8205	841
P	6419	1309324
P	5581	935
C	8513	1046
P	684	927
P	460	1113
P	8916	957
C	4710	1394
C	700	1047
P	2948	911
C	1782	5182
P	8146	3218
C	5917	4565480
P	4237	1504
P	5111	888
P	2543	846
C	4315	4616898
C	8902	1028
C	1787	775
C	7619	1366
P	2274	4654502
P	3398	769
C	1043	1302
C	8965	1887
P	8919	1081
C	3836	937
C	1096	780
P	8702	1119
P	26	1258
P	9364	4935949
C	1831	986
C	6798	3135
P	2873	1363
P	8353	662
P	1373	971
P	1714	1006
C	9644	4898812
C	3920	1004
C	1875	942
C	7420	974
P	7762	747
P	3283	1025
P	8437	994
C	9626	1189
P	6316	1108
C	7394	877
P	2337	4724081
P	6502	898
C	8152	1208
P	1098	822
C	9685	888
C	5537	842
P	4428	739
C	5423	4294732
P	4115	941
C	6387	900
P	4349	5541634
P	3121	917
P	177	702
P	5681	1034
P	5790	6314821
C	6721	1147
C	8422	936
C	1190	5115944
C	753	1278
C	2799	895
P	3608	778
P	3479	551
C	1837	906
C	9603	996
C	7330	725
C	3821	1141
P	558	741
C	1898	988
P	1291	664
C	954	770
P	8301	773
P	7066	1147
C	614	720
P	3513	909
C	4095	794
P	9565	1262
P	4048	688
C	462	980
P	6035	4192341
C	5256	870
C	3747	1049
P	4654	728
P	2794	1136
P	1389	963
C	8378	969
P	342	866
C	1740	919
P	7106	1262
P	753	814
C	5270	2164
C	5329	1116
P	9520	998
C	5114	1113
C	5950	866
C	4294	775
C	6313	3117
P	4849	1847929
P	6453	946
C	9950	970
P	9975	1094
C	1122	1146
P	7392	1237
P	3141	1255
C	4103	1076
P	7652	1046
P	4378	1001
C	8772	1217
P	9427	790
C	5252	1468
P	1781	1458
C	5436	759
P	2455	1104
C	4813	1479
P	7049	1081
C	6482	856
C	9692	953
P	3748	4493066
P	6439	2715
P	6213	797
C	729	809
P	5721	925
C	4773	881
P	3760	863
C	7692	816
P	422	2778
C	2613	884
P	9858	853
C	5776	835
C	7407	9061117
C	4359	1036
P	2394	788
P	7466	635
P	2412	591
P	2322	528
P	1900	556
P	7686	827
C	6753	8849908
C	2686	937
C	5105	939
C	968	747
C	7333	920
C	389	659
P	6816	8916857
C	8501	757
P	6044	909
C	4879	802
P	7787	841
P	2329	785
P	3712	8870470
P	997	8850372
C	4728	653
P	1811	736
C	9579	955
P	144	2328
P	2621	630
P	5846	637
C	8018	9949204
P	6359	1091
P	1421	907
P	7498	728
C	3576	1121
C	5585	1086
C	4176	834
P	4722	1086
C	5819	703
C	2779	982
P	5322	1036
P	2266	873
C	492	930
C	1617	791
C	9244	838
P	4682	753
P	9435	962
C	2426	1079
P	5124	1024
C	1655	5547
C	6744	1076
C	5300	10637437
P	494	1116
C	979	952
C	695	10696274
P	1561	1167
P	3923	991
P	4605	836
C	6909	19418
C	7846	955
P	8265	1138
P	4961	911
C	6	918
P	1575	898
C	9053	869
P	126	1103
P	5517	1148
P	4568	14685803
C	4222	1233
C	4788	1085
C	8288	14683814
P	3912	14172343
P	9617	862
P	5954	14681974
P	6325	1038
C	7568	1023
C	4626	1082
C	5808	908
C	831	1895
P	9793	1092
C	5713	1247
C	2661	1039
C	640	889
C	4407	14698499
P	8701	915
P	9091	9187861
P	2087	807
C	2896	944
C	3372	927
C	7221	904
C	2557	645
P	9177	854
P	1452	831
P	8418	1315
C	2904	667
P	8549	972
P	1642	819
C	8933	9261980
C	7303	1192
C	7584	10359068
P	1827	905
P	2506	10082377
P	1210	985
P	3801	967
C	3015	1161
C	8715	847
C	4251	1060
P	8549	882
C	237	654
C	9167	628
P	8990	9993684
C	2523	1099
C	8401	695
C	525	531
C	2362	519
C	1146	544
P	9166	840
P	1082	957
P	3183	553
P	762	911
P	5147	10046121
P	6542	691
P	9443	586
C	1027	768
C	9847	18283995
P	6210	829
C	5168	792
C	3691	650
P	1126	612
C	3302	675
P	7264	660
P	4631	646
C	4919	1812
P	1205	1042
C	6138	1103
P	1283	1169
P	7659	830
P	1859	518
C	3396	701
C	2730	570
C	1276	514
C	6176	467
C	2742	453
P	4948	664
P	6978	535
C	4206	9507408
C	1880	822
C	7106	680
C	4697	611
P	8570	612
P	6480	561
P	426	535
P	3798	508
C	9389	608
C	9558	493
P	4968	711
C	1022	10500979
P	6999	786
C	664	1311
P	996	708
C	6570	10976166
C	5945	893
P	2780	10931329
C	2604	1088
P	674	551
C	191	1218
C	415	1062
C	9132	795
C	199	996
P	3572	889
C	1536	853
P	8719	19766985
P	7673	1110
C	5817	878
P	1497	1020
C	4400	656
P	9169	969
C	2473	11955
C	2806	711
C	1573	612
C	9180	614
P	9397	11054211
P	6358	14050206
C	2762	14069432
P	3556	1133
C	5950	890
P	3825	648
P	5422	1206
C	7842	14151183
P	4727	730
C	1181	491
P	3250	835
P	6479	601
C	1271	1041
P	531	1174
C	9966	22996799
P	9430	14528624
C	139	861
C	1741	822
C	1164	1003
C	7285	815
P	2415	1056
P	5142	765
P	300	588
P	938	462
C	8871	843
C	407	644
P	6555	542
C	1054	515
P	2478	511
C	9318	463
P	1426	432
C	3031	1095
P	2209	649
P	9955	579
C	9235	897
C	5610	690
C	2104	14886988
P	7241	638
C	5	1100
P	262	551
C	186	637
C	2938	543
C	4522	439
P	3045	497
P	851	584
P	8967	532
C	4439	770
C	28	520
P	6392	772
P	5397	539
C	8885	552
C	3020	1066
P	3982	524
P	31	580
C	2139	570
P	2353	474
P	1068	620
C	1179	657
P	7915	634
C	9894	3809
C	5716	552
P	119	5333
P	1436	800
P	8245	443
P	4576	331
C	2647	718
C	147	713
P	140	1021
P	1140	1895
P	8288	15616330
C	6319	577
C	2631	457
C	357	807
C	2129	520
C	5978	490
P	7136	639
C	1283	517
P	3522	583
C	1526	623
P	3452	520
P	5619	469
C	3191	789
C	9816	573
P	6299	625
C	9698	632
P	6144	458
C	948	522
P	8714	394
C	5532	574
P	6503	382
C	93	687
P	717	420
C	4430	850
C	3577	439
C	3954	296
C	2232	270
P	2951	8344
P	1640	580
P	2257	369
P	143	1672
C	4643	1070
P	3830	608
P	1293	376
P	2734	268
P	2365	421
P	279	372
C	6508	453
C	4099	925
P	6347	875
C	5880	668
P	3952	425
C	1095	1364
C	8305	501
P	4881	319
P	8494	346
C	3470	674
C	8801	387
C	2658	438
P	548	905
P	2881	567
P	7572	404
P	6389	238
P	1523	408
C	5223	24488126
C	4672	571
C	1879	195
C	1396	271
C	1575	446
P	9629	459
P	3043	283
C	5712	1097
C	7170	645
C	8132	16447319
P	1025	18377087
P	5852	1178
P	7997	17603098
P	3192	914
P	9181	493
C	8052	1078
C	187	1106
C	704	638
C	4778	534
P	1198	797
P	3894	654
P	1070	387
P	4251	375
C	6846	353
C	6575	442
P	3406	336
P	695	754
P	7313	454
C	8009	17587782
C	471	745
