(18.5827,0)
(2.42676,-1.4604)
(3.98969,-1.68173)
(24.8793,-18.2664)
(-7.97053,4.85534)
(-3.84032,0.741901)
(-0.408828,1.96884)
(-1.09951,0.302006)
(-1.03133,2.49067)
(-0.463702,0.112936)
(-0.417182,-0.275947)
(-1.1124,0.510352)
(-1.01184,0.606916)
(-0.908277,0.77665)
(0.0878199,0.148216)
(0.580579,-0.79618)
(1.31814,-0.193511)
(-1.82021,1.14386)
(0.878091,0.127914)
(0.6924,0.476429)
(-0.535197,0.333069)
(0.243981,-1.09946)
(0.240608,2.41967)
(0.395487,-0.0490319)
(-0.769002,-0.487383)
(-0.0756028,-0.738134)
(-0.123384,-0.75956)
(-0.416322,-0.210699)
(-0.181512,-0.0392439)
(-0.10935,-0.942202)
(-1.06514,-0.717202)
(1.13711,-0.223334)
(-0.498931,0)
(1.13711,0.223334)
(-1.06514,0.717202)
(-0.10935,0.942202)
(-0.181512,0.0392439)
(-0.416322,0.210699)
(-0.123384,0.75956)
(-0.0756028,0.738134)
(-0.769002,0.487383)
(0.395487,0.0490319)
(0.240608,-2.41967)
(0.243981,1.09946)
(-0.535197,-0.333069)
(0.6924,-0.476429)
(0.878091,-0.127914)
(-1.82021,-1.14386)
(1.31814,0.193511)
(0.580579,0.79618)
(0.0878199,-0.148216)
(-0.908277,-0.77665)
(-1.01184,-0.606916)
(-1.1124,-0.510352)
(-0.417182,0.275947)
(-0.463702,-0.112936)
(-1.03133,-2.49067)
(-1.09951,-0.302006)
(-0.408828,-1.96884)
(-3.84032,-0.741901)
(-7.97053,-4.85534)
(24.8793,18.2664)
(3.98969,1.68173)
(2.42676,1.4604)
